var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,0.000000,120.000000,0,0
128,B,0.000000,120.000000,0,0
128,tmp,0.000000,0.000000,0,0
128,x,0.000000,120.000000,0,0
128,y,0.000000,0.000000,0,0
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,0.000000,120.000000,0,0
128,B,0.000000,120.000000,0,0
128,tmp,7680.000000,72192.000000,0,0
128,x,0.000000,120.000000,0,0
128,y,29952.000000,185548.812500,0,0
