var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
1024,alpha,1.500000,1.500000,0,0
1024,beta,1.200000,1.200000,0,0
1024,A,0.000000,960.000000,0,0
1024,B,0.000000,960.000000,0,0
1024,tmp,0.000000,0.000000,0,0
1024,x,0.000000,960.000000,0,0
1024,y,0.000000,0.000000,0,0
1024,alpha,1.500000,1.500000,0,0
1024,beta,1.200000,1.200000,0,0
1024,A,0.000000,960.000000,0,0
1024,B,0.000000,960.000000,0,0
1024,tmp,491520.000000,4620288.000000,0,0
1024,x,0.000000,960.000000,0,0
1024,y,1916928.000000,11875124.000000,0,0
