var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,0.000000,224.000000,0,0
256,B,0.000000,230.399994,0,0
256,C,0.000000,237.714279,0,0
256,D,0.000000,234.666672,0,0
256,tmp,0.000000,0.000000,0,0
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,0.000000,224.000000,0,0
256,B,0.000000,230.399994,0,0
256,C,0.000000,237.714279,0,0
256,D,9212490.000000,321807968.000000,0,0
256,tmp,0.000000,302284.781250,0,0
