var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
64,alpha,1.500000,1.500000,0,0
64,beta,1.200000,1.200000,0,0
64,A,0.000000,60.799999,0,0
64,u1,0.000000,60.799999,0,0
64,v1,0.800000,16.000000,0,0
64,u2,1.600000,32.000000,0,0
64,v2,0.533333,10.666667,0,0
64,w,0.000000,0.000000,0,0
64,x,0.000000,0.000000,0,0
64,y,0.400000,8.000000,0,0
64,z,0.355556,7.111111,0,0
64,alpha,1.500000,1.500000,0,0
64,beta,1.200000,1.200000,0,0
64,A,0.853333,1317.333374,0,0
64,u1,0.000000,60.799999,0,0
64,v1,0.800000,16.000000,0,0
64,u2,1.600000,32.000000,0,0
64,v2,0.533333,10.666667,0,0
64,w,17071456.000000,1349725056.000000,0,0
64,x,4444.515625,91225.031250,0,0
64,y,0.400000,8.000000,0,0
64,z,0.355556,7.111111,0,0
