var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,0.000000,480.000000,0,0
512,B,0.000000,480.000000,0,0
512,tmp,0.000000,0.000000,0,0
512,x,0.000000,480.000000,0,0
512,y,0.000000,0.000000,0,0
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,0.000000,480.000000,0,0
512,B,0.000000,480.000000,0,0
512,tmp,122880.000000,1155072.000000,0,0
512,x,0.000000,480.000000,0,0
512,y,479232.000000,2968781.000000,0,0
