var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
32,alpha,1.500000,1.500000,0,0
32,beta,1.200000,1.200000,0,0
32,A,0.000000,30.400000,0,0
32,u1,0.000000,30.400000,0,0
32,v1,0.400000,8.000000,0,0
32,u2,0.800000,16.000000,0,0
32,v2,0.266667,5.333333,0,0
32,w,0.000000,0.000000,0,0
32,x,0.000000,0.000000,0,0
32,y,0.200000,4.000000,0,0
32,z,0.177778,3.555556,0,0
32,alpha,1.500000,1.500000,0,0
32,beta,1.200000,1.200000,0,0
32,A,0.213333,330.133331,0,0
32,u1,0.000000,30.400000,0,0
32,v1,0.400000,8.000000,0,0
32,u2,0.800000,16.000000,0,0
32,v2,0.266667,5.333333,0,0
32,w,556858.000000,45254740.000000,0,0
32,x,555.697815,11697.635742,0,0
32,y,0.200000,4.000000,0,0
32,z,0.177778,3.555556,0,0
