var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
1024,alpha,1.500000,1.500000,0,0
1024,beta,1.200000,1.200000,0,0
1024,A,0.000000,896.000000,0,0
1024,B,0.000000,921.599976,0,0
1024,C,0.000000,950.857117,0,0
1024,D,0.000000,938.666687,0,0
1024,tmp,0.000000,0.000000,0,0
1024,alpha,1.500000,1.500000,0,0
1024,beta,1.200000,1.200000,0,0
1024,A,0.000000,896.000000,0,0
1024,B,0.000000,921.599976,0,0
1024,C,0.000000,950.857117,0,0
1024,D,589599360.000000,20595709952.000000,0,0
1024,tmp,0.000000,4836556.500000,0,0
