var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
1,alpha,1.500000,1.500000,0,0
1,beta,1.200000,1.200000,0,0
1,A,0.000000,0.950000,0,0
1,u1,0.000000,0.950000,0,0
1,v1,0.012500,0.250000,0,0
1,u2,0.025000,0.500000,0,0
1,v2,0.008333,0.166667,0,0
1,w,0.000000,0.000000,0,0
1,x,0.000000,0.000000,0,0
1,y,0.006250,0.125000,0,0
1,z,0.005556,0.111111,0,0
1,alpha,1.500000,1.500000,0,0
1,beta,1.200000,1.200000,0,0
1,A,0.000208,1.115625,0,0
1,u1,0.000000,0.950000,0,0
1,v1,0.012500,0.250000,0,0
1,u2,0.025000,0.500000,0,0
1,v2,0.008333,0.166667,0,0
1,w,0.064538,18.203592,0,0
1,x,0.022509,1.132656,0,0
1,y,0.006250,0.125000,0,0
1,z,0.005556,0.111111,0,0
