var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
2,alpha,1.500000,1.500000,0,0
2,beta,1.200000,1.200000,0,0
2,A,0.000000,1.900000,0,0
2,u1,0.000000,1.900000,0,0
2,v1,0.025000,0.500000,0,0
2,u2,0.050000,1.000000,0,0
2,v2,0.016667,0.333333,0,0
2,w,0.000000,0.000000,0,0
2,x,0.000000,0.000000,0,0
2,y,0.012500,0.250000,0,0
2,z,0.011111,0.222222,0,0
2,alpha,1.500000,1.500000,0,0
2,beta,1.200000,1.200000,0,0
2,A,0.000833,2.662500,0,0
2,u1,0.000000,1.900000,0,0
2,v1,0.025000,0.500000,0,0
2,u2,0.050000,1.000000,0,0
2,v2,0.016667,0.333333,0,0
2,w,1.236028,213.954514,0,0
2,x,0.146736,5.551250,0,0
2,y,0.012500,0.250000,0,0
2,z,0.011111,0.222222,0,0
