var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
8,alpha,1.500000,1.500000,0,0
8,beta,1.200000,1.200000,0,0
8,A,0.000000,7.600000,0,0
8,u1,0.000000,7.600000,0,0
8,v1,0.100000,2.000000,0,0
8,u2,0.200000,4.000000,0,0
8,v2,0.066667,1.333333,0,0
8,w,0.000000,0.000000,0,0
8,x,0.000000,0.000000,0,0
8,y,0.050000,1.000000,0,0
8,z,0.044444,0.888889,0,0
8,alpha,1.500000,1.500000,0,0
8,beta,1.200000,1.200000,0,0
8,A,0.013333,21.133335,0,0
8,u1,0.000000,7.600000,0,0
8,v1,0.100000,2.000000,0,0
8,u2,0.200000,4.000000,0,0
8,v2,0.066667,1.333333,0,0
8,w,682.444031,65965.640625,0,0
8,x,8.724444,210.968887,0,0
8,y,0.050000,1.000000,0,0
8,z,0.044444,0.888889,0,0
