var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
16,alpha,1.500000,1.500000,0,0
16,beta,1.200000,1.200000,0,0
16,A,0.000000,15.200000,0,0
16,u1,0.000000,15.200000,0,0
16,v1,0.200000,4.000000,0,0
16,u2,0.400000,8.000000,0,0
16,v2,0.133333,2.666667,0,0
16,w,0.000000,0.000000,0,0
16,x,0.000000,0.000000,0,0
16,y,0.100000,2.000000,0,0
16,z,0.088889,1.777778,0,0
16,alpha,1.500000,1.500000,0,0
16,beta,1.200000,1.200000,0,0
16,A,0.053333,82.933334,0,0
16,u1,0.000000,15.200000,0,0
16,v1,0.200000,4.000000,0,0
16,u2,0.400000,8.000000,0,0
16,v2,0.133333,2.666667,0,0
16,w,18870.406250,1623528.250000,0,0
16,x,69.528893,1536.497925,0,0
16,y,0.100000,2.000000,0,0
16,z,0.088889,1.777778,0,0
