var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,0.000000,243.199997,0,0
256,u1,0.000000,243.199997,0,0
256,v1,3.200000,64.000000,0,0
256,u2,6.400000,128.000000,0,0
256,v2,2.133333,42.666668,0,0
256,w,0.000000,0.000000,0,0
256,x,0.000000,0.000000,0,0
256,y,1.600000,32.000000,0,0
256,z,1.422222,28.444445,0,0
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,13.653335,21038.933594,0,0
256,u1,0.000000,243.199997,0,0
256,v1,3.200000,64.000000,0,0
256,u2,6.400000,128.000000,0,0
256,v2,2.133333,42.666668,0,0
256,w,16908462080.000000,1310431248384.000000,0,0
256,x,284427.687500,5725909.000000,0,0
256,y,1.600000,32.000000,0,0
256,z,1.422222,28.444445,0,0
