var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,0.000000,486.399994,0,0
512,u1,0.000000,486.399994,0,0
512,v1,6.400000,128.000000,0,0
512,u2,12.800000,256.000000,0,0
512,v2,4.266667,85.333336,0,0
512,w,0.000000,0.000000,0,0
512,x,0.000000,0.000000,0,0
512,y,3.200000,64.000000,0,0
512,z,2.844445,56.888889,0,0
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,54.613338,84130.132812,0,0
512,u1,0.000000,486.399994,0,0
512,v1,6.400000,128.000000,0,0
512,u2,12.800000,256.000000,0,0
512,v2,4.266667,85.333336,0,0
512,w,538021003264.000000,41561861652480.000000,0,0
512,x,2275412.750000,45657680.000000,0,0
512,y,3.200000,64.000000,0,0
512,z,2.844445,56.888889,0,0
