var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,0.000000,240.000000,0,0
256,B,0.000000,240.000000,0,0
256,tmp,0.000000,0.000000,0,0
256,x,0.000000,240.000000,0,0
256,y,0.000000,0.000000,0,0
256,alpha,1.500000,1.500000,0,0
256,beta,1.200000,1.200000,0,0
256,A,0.000000,240.000000,0,0
256,B,0.000000,240.000000,0,0
256,tmp,30720.000000,288768.000000,0,0
256,x,0.000000,240.000000,0,0
256,y,119808.000000,742195.250000,0,0
