var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,0.000000,121.599998,0,0
128,u1,0.000000,121.599998,0,0
128,v1,1.600000,32.000000,0,0
128,u2,3.200000,64.000000,0,0
128,v2,1.066667,21.333334,0,0
128,w,0.000000,0.000000,0,0
128,x,0.000000,0.000000,0,0
128,y,0.800000,16.000000,0,0
128,z,0.711111,14.222222,0,0
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,3.413334,5262.933105,0,0
128,u1,0.000000,121.599998,0,0
128,v1,1.600000,32.000000,0,0
128,u2,3.200000,64.000000,0,0
128,v2,1.066667,21.333334,0,0
128,w,534349888.000000,41686114304.000000,0,0
128,x,35553.992188,720418.812500,0,0
128,y,0.800000,16.000000,0,0
128,z,0.711111,14.222222,0,0
