var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,0.000000,112.000000,0,0
128,B,0.000000,115.199997,0,0
128,C,0.000000,118.857140,0,0
128,D,0.000000,117.333336,0,0
128,tmp,0.000000,0.000000,0,0
128,alpha,1.500000,1.500000,0,0
128,beta,1.200000,1.200000,0,0
128,A,0.000000,112.000000,0,0
128,B,0.000000,115.199997,0,0
128,C,0.000000,118.857140,0,0
128,D,1151561.250000,40225996.000000,0,0
128,tmp,0.000000,75571.195312,0,0
