var_scaling_factor,var_name,var_min,var_max,var_isnan,var_isinf
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,0.000000,448.000000,0,0
512,B,0.000000,460.799988,0,0
512,C,0.000000,475.428558,0,0
512,D,0.000000,469.333344,0,0
512,tmp,0.000000,0.000000,0,0
512,alpha,1.500000,1.500000,0,0
512,beta,1.200000,1.200000,0,0
512,A,0.000000,448.000000,0,0
512,B,0.000000,460.799988,0,0
512,C,0.000000,475.428558,0,0
512,D,73699920.000000,2574463744.000000,0,0
512,tmp,0.000000,1209139.125000,0,0
